Date,Segment_id,x,y,Evapotranspiration,Precipitation,Irrigation_pumping,Observed
723119,189,1392430,14571840,0.0,0.0,0.0,0.167213115
720867,59,874990,14556000,2.01,22.47,-1.0212,12.154508199999999
716150,196,1482190,14577120,0.0,0.0,0.0,1.0
721628,178,927790,14540160,4.93,16.4,-0.03656,-5.803278700000001
710398,96,806350,14550720,0.42,19.99,0.0,7.1283207
718614,59,874990,14556000,6.77,13.89,-1.5657,12.6688525
725401,146,1329070,14445120,0.0,0.0,0.0,1.0467741940000002
730121,145,1207630,14460960,0.0,0.0,0.0,1.35
710183,256,1941550,14524320,6.99,35.5,0.0,716.4918
714323,135,1223470,14761920,2.67,13.0,-0.012306999999999998,5.4296720999999994
713593,64,1645870,14566560,1.68,19.23,0.0,4.827376999999999
720167,60,1144270,14677440,3.82,21.94,0.0,14.939508199999999
710610,145,1207630,14460960,0.0,0.0,0.0,0.0
717945,130,785230,14566560,4.51,21.06,-0.04521,57.87295079999999
715115,178,927790,14540160,1.13,22.15,0.0,6.1444540000000005
712162,148,1703950,14561280,1.63,29.07,0.0,20.343770000000003
712983,118,1186510,14761920,0.36,17.51,0.0,0.70833333
718461,98,721870,14387040,0.0,0.0,0.0,0.938387097
709087,178,927790,14540160,5.42,25.0,-0.36589,9.939855999999999
714444,149,1387150,14640480,0.96,12.74,-0.0079998,4.7483333
719467,97,727150,14402880,1.04,18.18,0.0,28.478689000000003
715692,188,927790,14550720,9.1,20.23,-0.39474000000000004,70.008197
717488,154,1138990,14497920,8.79,16.96,-0.23255,3.5065574
714993,178,927790,14540160,8.85,22.15,-1.3973,-4.303278700000001
713228,147,906670,14693280,2.66,15.19,0.0,59.6262295
712527,55,1133710,14619360,1.19,19.0,0.0,0.57827869
710032,147,906670,14693280,0.07,21.5,0.0,71.96774190000001
725827,178,927790,14540160,3.51,22.36,0.0,15.432096900000001
716484,98,721870,14387040,0.0,0.0,0.0,0.44918032799999996
717458,152,1392430,14545440,0.0,0.0,0.0,1.301639344
721749,51,1154830,14413440,0.0,0.0,0.0,0.367741935
723606,56,1170670,14582400,0.0,0.0,0.0,3.908474576
708814,130,785230,14566560,4.52,13.25,0.0,50.40081970000001
708540,130,785230,14566560,0.78,13.49,0.0,53.9129032
711918,152,1392430,14545440,0.0,0.0,0.0,2.755932203
711583,62,1603630,14556000,3.92,19.65,0.0,11.1492623
711097,159,1218190,14614080,1.08,27.78,0.0,29.848387
710701,189,1392430,14571840,0.0,0.0,0.0,0.703278689
727168,64,1645870,14566560,0.38,23.13,-0.0090906,5.769677400000001
713774,135,1223470,14761920,7.43,16.6,-0.0092305,8.055
727319,56,1170670,14582400,0.0,0.0,0.0,4.9016393439999995
726438,149,1387150,14640480,0.72,21.45,-0.016,6.3741935
708571,152,1392430,14545440,0.0,0.0,0.0,0.0
711187,130,785230,14566560,1.22,23.94,0.0,56.464406999999994
722693,130,785230,14566560,8.1,11.96,-0.35013,36.707377
718980,171,1508590,14524320,9.07,28.63,-0.22098,3.1327868999999997
711036,196,1482190,14577120,0.0,0.0,0.0,5.2
719102,178,927790,14540160,0.95,16.45,0.0,1.3368852
716910,59,874990,14556000,1.04,20.17,0.0,12.4342623
716027,171,1381870,14460960,0.0,0.0,0.0,2.990163934
722328,60,1144270,14677440,4.55,26.34,-0.20151,13.952623
717337,147,906670,14693280,1.13,14.36,0.0,72.8258065
727868,148,1703950,14561280,0.79,26.57,-0.015,17.8631148
712132,56,1170670,14582400,0.0,0.0,0.0,0.26
728384,51,1154830,14413440,0.0,0.0,0.0,2.3735593219999997
717488,56,1170670,14582400,0.0,0.0,0.0,2.0009836069999998
715905,178,927790,14540160,0.0,22.5,0.0,8.596667
720653,178,927790,14540160,0.92,29.36,0.0,26.039831
717245,51,1154830,14413440,0.0,0.0,0.0,0.0
730607,171,1508590,14524320,8.05,0.0,0.0,8.2704918
709940,159,1218190,14614080,1.84,12.72,0.0,14.577048999999999
716515,145,1207630,14460960,0.0,0.0,0.0,0.0
726984,40,1798990,14561280,5.37,30.15,-0.24474,11.9811475
728295,64,1645870,14566560,0.32,22.95,-0.0090906,7.3219354999999995
727930,149,1387150,14640480,0.0,35.42,-0.041999,7.3083871
724215,196,1482190,14577120,0.0,0.0,0.0,0.0
724032,64,1645870,14566560,1.7,30.36,-0.0090906,6.152131099999999
729725,60,1144270,14677440,0.43,20.73,0.0,17.467903200000002
715905,147,906670,14693280,0.0,17.69,0.0,80.75666700000001
722816,55,1133710,14619360,0.0,23.21,-0.0042856000000000005,0.88
725432,130,785230,14566560,2.41,15.04,0.0,55.86779661
709636,194,970030,14571840,0.62,22.7,0.0,182.274194
725738,148,1703950,14561280,0.81,29.43,-0.015,16.3709677
719011,170,1270990,14714400,5.05,17.16,-0.43365,27.90491803
727777,65,838030,14556000,6.6,19.99,-0.71085,0.3860656
723210,138,1434670,14624640,0.44,22.72,0.0,4.726
712983,149,1387150,14640480,0.36,15.47,-0.0079998,5.9843333
714781,159,1218190,14614080,0.52,25.94,0.0,27.503226
712193,176,790510,14424000,0.98,30.99,0.0,43.446920399999996
729603,146,1329070,14445120,0.0,0.0,0.0,0.0
718522,98,721870,14387040,0.0,0.0,0.0,0.95
711217,176,790510,14424000,2.45,20.35,0.0,43.393666100000004
728415,65,838030,14556000,8.34,19.29,0.0,1.6
716270,145,1207630,14460960,0.0,0.0,0.0,0.0
709970,186,1313230,14640480,1.14,27.3,0.0,42.551639
725281,188,927790,14550720,3.28,18.88,-0.018461,70.02950799999999
719164,147,906670,14693280,0.11,17.35,0.0,67.56451609999999
708937,53,991150,14714400,0.05,21.3,0.0,25.8129032
717337,178,927790,14540160,1.13,16.53,0.0,20.4677419
730333,178,927790,14540160,4.7,21.56,-0.92969,-7.4344262
716242,188,927790,14550720,0.93,18.79,0.0,105.84838710000001
728354,170,1270990,14714400,1.93,24.16,0.0,62.97966102
717184,55,1133710,14619360,7.4,15.99,-0.51134,2.0678688999999997
710001,53,1049230,14666880,0.81,9.86,0.0,127.54839
720044,148,1703950,14561280,6.94,27.66,-0.33814,21.6770492
728203,146,1329070,14445120,0.0,0.0,0.0,6.59
719557,170,1270990,14714400,1.22,13.58,0.0,62.74152539999999
719741,96,806350,14550720,10.21,15.31,-0.3275,0.62117669
709575,189,1392430,14571840,0.0,0.0,0.0,6.7
723271,40,1798990,14561280,1.7,18.82,0.0,15.523360999999998
724550,170,1270990,14714400,4.34,20.84,0.0,35.744262
717853,65,838030,14556000,4.51,21.06,-0.09954500000000001,3.5722131
725342,56,1170670,14582400,0.0,0.0,0.0,5.37
717580,55,1133710,14619360,5.76,18.34,-0.27065,1.5918852
725311,59,874990,14556000,1.14,16.02,0.0,12.2968033
711097,55,1133710,14619360,1.08,28.13,0.0,0.30887097
723394,96,806350,14550720,9.97,21.4,-0.34014,1.65296936
727868,96,806350,14550720,0.54,19.99,-0.0053844999999999995,7.7717407000000005
722754,135,1223470,14761920,0.95,23.17,-0.018461,3.9698361000000006
730241,145,1207630,14460960,0.0,0.0,0.0,1.813114754
728142,146,1329070,14445120,0.0,0.0,0.0,6.81
720380,178,927790,14540160,6.06,23.92,0.0,8.329692999999999
729906,170,1270990,14714400,9.07,17.41,-0.23305,45.489344
726803,135,1223470,14761920,0.28,18.55,-0.021537999999999998,4.48
728780,170,1270990,14714400,2.25,24.06,0.0,53.7967213
710306,194,970030,14571840,3.95,26.48,0.0,60.04918000000001
713228,136,1191790,14767200,2.66,17.51,0.0,17.3016393
716423,98,721870,14387040,0.0,0.0,0.0,0.867540984
718522,147,906670,14693280,6.43,22.05,0.0,59.33360699999999
720410,171,1508590,14524320,6.64,20.97,-0.10432000000000001,1.6672131000000001
716941,147,906670,14693280,0.67,26.85,0.0,76.3209677
708661,53,1049230,14666880,3.04,15.43,0.0,116.72868899999999
723241,56,1170670,14582400,0.0,0.0,0.0,5.575166667
708509,239,1630030,14550720,1.22,17.5,0.0,116.360656
722936,40,1798990,14561280,4.51,33.27,0.0,15.85377
728749,170,1270990,14714400,2.01,24.06,0.0,55.6967213
711217,189,1392430,14571840,0.0,0.0,0.0,9.772881356000001
727746,147,906670,14693280,6.56,17.05,-1.0335,14.81311475
717976,59,874990,14556000,1.89,24.44,0.0,14.9163934
719102,188,927790,14550720,0.95,16.45,-0.012306999999999998,76.93770490000001
719102,170,1270990,14714400,0.95,17.16,0.0,48.2836066
724277,65,838030,14556000,0.71,16.22,0.0,7.23741935
722632,196,1482190,14577120,0.0,0.0,0.0,0.0
726316,51,1154830,14413440,0.0,0.0,0.0,0.0
